GeneSymbol	log2FC	ENTREZID	SYMBOL	NonHDACi.score	HDACi.score	std.dev	EnsemblID
AKAP8	-1.75765008547886	10270	AKAP8	-0.0856664767767028	-1.75765008547886	0.93034803762955	ENSG00000105127
AP5S1	-1.80147674925067	55317	AP5S1	0.0487848374651943	-1.80147674925067	1.09195126923348	ENSG00000125843
ATP1B1	1.26828560534939	481	ATP1B1	-0.6450816455744	1.26828560534939	0.897743324919618	ENSG00000143153
BMF	3.5641042441283	90427	BMF	0.135304768472158	3.5641042441283	1.17068095449694	ENSG00000104081
BNIP1	-0.89866423220282	662	BNIP1	0.464348466856286	-0.89866423220282	0.845091166096833	ENSG00000113734
CCDC144NL	1.95496018856992	339184	CCDC144NL	-0.85200512577474	1.95496018856992	1.32355537051122	ENSG00000291074
CDK5R1	-1.5416637345863	8851	CDK5R1	0.0426258273077438	-1.5416637345863	0.953929063568202	ENSG00000176749
CEP68	1.65899820593553	23177	CEP68	-0.508016144582613	1.65899820593553	1.23023781519824	ENSG00000011523
COIL	-1.79430540479023	8161	COIL	0.190939196356909	-1.79430540479023	1.07321376628025	ENSG00000121058
CPEB4	1.68022946938832	80315	CPEB4	-0.370405665579912	1.68022946938832	1.17054082855705	ENSG00000113742
DMXL1	1.51512888634372	1657	DMXL1	-0.496039683142132	1.51512888634372	1.08328610864053	ENSG00000172869
DTWD1	-1.0808760051611	56986	DTWD1	0.227369843984476	-1.0808760051611	0.854914264111525	ENSG00000104047
DYRK3	1.76909844345686	8444	DYRK3	-0.0307668319253579	1.76909844345686	0.859647320239466	ENSG00000143479
E2F8	-1.49692993665671	79733	E2F8	0.226441342075405	-1.49692993665671	0.98456421752242	ENSG00000129173
EAF2	1.23442776110668	55840	EAF2	-0.0583763497985816	1.23442776110668	0.844443643700407	ENSG00000145088
ERRFI1	1.45834625443787	54206	ERRFI1	-0.133882618510961	1.45834625443787	1.02982748962064	ENSG00000116285
FAM117A	2.18907087228897	81558	FAM117A	-0.457793897225559	2.18907087228897	1.6633265432643	ENSG00000121104
FAM217B	-1.4206830031769	63939	FAM217B	0.351797108561168	-1.4206830031769	1.08858353241777	ENSG00000196227
FAS	-1.31693752023825	355	FAS	0.352668888648356	-1.31693752023825	1.00675557357066	ENSG00000026103
GLDC	1.42814575558892	2731	GLDC	-0.492736754944239	1.42814575558892	1.0459192981768901	ENSG00000178445
GNAZ	1.24342377526001	2781	GNAZ	-0.0681892784097421	1.24342377526001	0.80372795880652	ENSG00000128266
GPR183	-2.71170915172099	1880	GPR183	-0.278955846674713	-2.71170915172099	1.27289234176444	ENSG00000169508
HEY1	1.05344325651627	23462	HEY1	-0.262421649108693	1.05344325651627	0.858979913180272	ENSG00000164683
HIP1	1.84489664936095	3092	HIP1	-0.583987040571259	1.84489664936095	1.03658504392671	ENSG00000127946
HMCES	1.67494240488059	56941	HMCES	-0.86451483641192	1.67494240488059	1.27280767495763	ENSG00000183624
ID1	2.28735355182575	3397	ID1	-2.02860040826713	2.28735355182575	2.60676956937836	ENSG00000125968
IFI6	1.50576038075325	2537	IFI6	0.0439254185969903	1.50576038075325	0.895883282132955	ENSG00000126709
IL3RA	1.29130090663756	3563	IL3RA	-0.645183257268406	1.29130090663756	1.13234557330536	ENSG00000185291
INO80D	-1.72388297849079	54891	INO80D	-0.0699364295024932	-1.72388297849079	0.922922035784575	ENSG00000114933
INPP5F	1.56068767865013	22876	INPP5F	-0.344967832092213	1.56068767865013	0.934340886952181	ENSG00000198825
JADE2	-1.77194841164339	23338	JADE2	-0.113271174911129	-1.77194841164339	1.05031070664249	ENSG00000043143
JARID2	1.38414029158207	3720	JARID2	-0.813654817684345	1.38414029158207	1.36765026119112	ENSG00000008083
KLHL42	-1.36776609280749	57542	KLHL42	0.392587415399416	-1.36776609280749	0.961964899126801	ENSG00000087448
LIPH	1.39902863521962	200879	LIPH	-0.818911091364621	1.39902863521962	1.28852163318664	ENSG00000163898
MEPCE	-1.55579510666951	56257	MEPCE	0.186865870843275	-1.55579510666951	1.09550808206972	ENSG00000146834
MSL1	-1.89296374538023	339287	MSL1	0.164010747153911	-1.89296374538023	0.770489707245665	ENSG00000188895
MXI1	1.82560526996199	4601	MXI1	-0.244456995890211	1.82560526996199	1.18914486879094	ENSG00000119950
MYBL1	2.27897639734109	4603	MYBL1	0.344209781440001	2.27897639734109	1.12180091052776	ENSG00000185697
MYO1E	1.03579503311851	4643	MYO1E	-0.437888866079508	1.03579503311851	0.929574849458216	ENSG00000157483
NEDD9	1.99716481624767	4739	NEDD9	-0.0746239644583676	1.99716481624767	1.27048809318791	ENSG00000111859
NRROS	-2.55156834341819	375387	NRROS	0.00591573324117836	-2.55156834341819	1.12587801726362	ENSG00000174004
POTEM	1.27356403182259	641455	POTEM	-0.219905948255862	1.27356403182259	0.920303706820159	ENSG00000222036
PPIL1	-1.70862614869809	51645	PPIL1	0.0783821468453717	-1.70862614869809	0.978019503973884	ENSG00000137168
PSD3	1.45237924865783	23362	PSD3	-0.629348791059289	1.45237924865783	1.1499036883808	ENSG00000156011
PYM1	-1.62337350697089	84305	PYM1	0.120997023018284	-1.62337350697089	1.07232060440905	ENSG00000170473
RAB11FIP1	1.56695282532584	80223	RAB11FIP1	-0.785514792327532	1.56695282532584	1.07211316655503	ENSG00000156675
RBM22	-1.10205720661879	55696	RBM22	0.235696064040783	-1.10205720661879	0.856954780944339	ENSG00000086589
RIPK1	-1.61498574947257	8737	RIPK1	0.346430353465046	-1.61498574947257	1.22735385471641	ENSG00000137275
RNF24	1.78759830790628	11237	RNF24	-0.306602512253987	1.78759830790628	1.23286870953049	ENSG00000101236
RWDD3	-1.14267926692422	25950	RWDD3	0.376919883973089	-1.14267926692422	0.908520245089763	ENSG00000122481
SESN3	1.06236658612889	143686	SESN3	-0.253750133662405	1.06236658612889	0.833071623975013	ENSG00000149212
SGTB	1.39648277756024	54557	SGTB	-0.31441860892967	1.39648277756024	1.07234749773466	ENSG00000197860
SLC12A6	1.63969161249708	9990	SLC12A6	-0.215033304064435	1.63969161249708	1.12673597179606	ENSG00000140199
SMIM14	1.11507145709187	201895	SMIM14	-0.511914228580035	1.11507145709187	0.923047642959087	ENSG00000163683
SRGAP3	1.20228309532835	9901	SRGAP3	-1.02114788634222	1.20228309532835	1.44042864391724	ENSG00000196220
SRSF4	-1.46646788005559	6429	SRSF4	0.17500135360905	-1.46646788005559	0.869154553829211	ENSG00000116350
ST3GAL5	1.25689949499441	8869	ST3GAL5	-0.414040601286298	1.25689949499441	0.906441145328595	ENSG00000115525
SUV39H1	-1.86749000764637	6839	SUV39H1	-0.00348437663561981	-1.86749000764637	1.10161921491854	ENSG00000101945
SWT1	1.75456899759303	54823	SWT1	-0.866150392074319	1.75456899759303	1.5885660587663	ENSG00000116668
TBC1D16	0.977461247059085	125058	TBC1D16	-0.444939522546827	0.977461247059085	0.880045769750334	ENSG00000167291
TMCC2	2.04446416795456	9911	TMCC2	0.0677769089446281	2.04446416795456	0.916867113116542	ENSG00000133069
TMCC3	1.61069325889158	57458	TMCC3	-0.814184731490104	1.61069325889158	1.20601640127746	ENSG00000057704
TMEM87A	-1.48751347449737	25963	TMEM87A	-0.00280300009148269	-1.48751347449737	0.960245073148868	ENSG00000103978
TMOD2	1.58836067904709	29767	TMOD2	-0.02030008773071	1.58836067904709	0.983255169081052	ENSG00000128872
TNFRSF19	2.21028636176131	55504	TNFRSF19	0.263153560568972	2.21028636176131	1.22613771273203	ENSG00000127863
TPCN1	1.13691509187692	53373	TPCN1	-0.124641559518357	1.13691509187692	0.800281737816812	ENSG00000186815
TRIM8	-1.41384316883394	81603	TRIM8	0.127704527458171	-1.41384316883394	0.912183933930186	ENSG00000171206
TUBB2A	1.24331471164672	7280	TUBB2A	-0.358129226037572	1.24331471164672	1.0169330837878	ENSG00000137267
TULP4	0.699914654761828	56995	TULP4	-0.832893844229865	0.699914654761828	0.926771832172598	ENSG00000130338
UGCG	1.09188920400377	7357	UGCG	-0.39537202067263	1.09188920400377	0.786024059018086	ENSG00000148154
YARS2	-1.63683294396221	51067	YARS2	0.0349723522295995	-1.63683294396221	0.957178730320841	ENSG00000139131
YES1	0.864596346350676	7525	YES1	-1.06668699401595	0.864596346350676	1.06712348711491	ENSG00000176105
ZBTB1	-1.48393759353826	22890	ZBTB1	0.0405902285461403	-1.48393759353826	0.953066987077899	ENSG00000126804
ZFX	-2.14610987987833	7543	ZFX	-0.261680495360717	-2.14610987987833	1.17688331825119	ENSG00000005889
ZFY	-2.66387495880064	7544	ZFY	-0.256848083656347	-2.66387495880064	1.37986839422698	ENSG00000067646
ZNF280C	0.899604185410472	55609	ZNF280C	-0.620689178288501	0.899604185410472	0.935232767227594	ENSG00000056277
ZNF282	-1.10102031078714	8427	ZNF282	0.00966341609919325	-1.10102031078714	0.727391679127406	ENSG00000170265
ZNF383	-1.29995331112825	163087	ZNF383	0.300588452140986	-1.29995331112825	1.03106640616932	ENSG00000188283
TMEM2	1.23663497511551	23670	CEMIP2	-0.46491458091206	1.23663497511551	1.03111899409378	ENSG00000135048
PAPD5	1.13503868223073	64282	TENT4B	-0.496620968373704	1.13503868223073	1.06685278184255	ENSG00000121274
C9orf69	-1.34207971210611	90120	TMEM250	0.244559458161536	-1.34207971210611	1.01384590277136	ENSG00000238227
